Segment,Description,Quantity
At-Risk Customers,WOVEN CANDY CUSHION COVER ,6
At-Risk Customers,ZINC SWEETHEART SOAP DISH,6
At-Risk Customers,ZINC SWEETHEART WIRE LETTER RACK,6
At-Risk Customers,BLUE FLOWER DES PURSE,5
At-Risk Customers,BLUE HEART COMPACT MIRROR,5
At-Risk Customers,BLUE JUICY FRUIT PHOTO FRAME,5
At-Risk Customers,BLUE STRIPES SHOULDER BAG,5
At-Risk Customers,CAROUSEL PONIES BABY BIB,5
At-Risk Customers,CHARLIE LOLA BLUE HOT WATER BOTTLE ,5
At-Risk Customers,CHUNKY SILVER NECKLACE PASTEL FLOWE,5
At-Risk Customers,COLOURFUL FLOWER FRUIT BOWL,5
At-Risk Customers,CUPID SCENTED CANDLE IN GLASS,5
At-Risk Customers,DECORATION WOBBLY CHICKEN,5
At-Risk Customers,DIAMANTE BOW BROOCH GREEN COLOUR,5
At-Risk Customers,EASTER TREE YELLOW BIRDS,5
At-Risk Customers,EIGHT PIECE DINOSAUR SET,5
At-Risk Customers,FUSCHIA FLOWER PURSE WITH BEADS,5
At-Risk Customers,GIANT 50'S CHRISTMAS CRACKER,5
At-Risk Customers,GLITTER CHRISTMAS STAR ,5
At-Risk Customers,GLITTER HEART DECORATION,5
At-Risk Customers,HILDA CANDY SPOT RABBIT,5
At-Risk Customers,HOLLY TOP CHRISTMAS STOCKING,5
At-Risk Customers,LA PALMIERA TILE HOOK,5
At-Risk Customers,LARGE  TALL CAMPHOR WOOD TOADSTOOL ,5
At-Risk Customers,MILK PAN PINK POLKADOT,5
At-Risk Customers,MIRROR CORNICE,5
At-Risk Customers,PERIWINKLE T-LIGHT HOLDER,5
At-Risk Customers,PINK BOUDICCA LARGE BRACELET,5
At-Risk Customers,PINK HEART OF GLASS BRACELET,5
At-Risk Customers,ROSE DU SUD WASHBAG ,5
At-Risk Customers,SET OF 16 VINTAGE SKY BLUE CUTLERY,5
At-Risk Customers,SET/4 BLUE FLOWER CANDLES IN BOWL,5
At-Risk Customers,SET/4 DAISY MIRROR MAGNETS,5
At-Risk Customers,SILVER CHRISTMAS TREE BAUBLE STAND ,5
At-Risk Customers,SILVER TEDDY BEAR,5
At-Risk Customers,SPACE CADET RED,5
At-Risk Customers,STAR  T-LIGHT HOLDER ,5
At-Risk Customers,URBAN BLACK RIBBONS ,5
At-Risk Customers,WHITE ALLIUM  ARTIFICIAL FLOWER,5
At-Risk Customers,WHITE TISSUE REAM,5
At-Risk Customers,4 BURGUNDY WINE DINNER CANDLES,4
At-Risk Customers,ANTIQUE CREAM CUTLERY SHELF ,4
At-Risk Customers,ASS FLORAL PRINT SPIRIT LEVEL ,4
At-Risk Customers,BAG OF SILVER STONES,4
At-Risk Customers,BEACH HUT MIRROR,4
At-Risk Customers,BLACK VINTAGE  CRYSTAL EARRINGS,4
At-Risk Customers,BLUE GEISHA GIRL ,4
At-Risk Customers,BLUE ROUND COMPACT MIRROR,4
At-Risk Customers,BROWN  PIRATE TREASURE CHEST ,4
At-Risk Customers,CAKE STAND VICTORIAN FILIGREE SMALL,4
At-Risk Customers,CHRISTMAS CRAFT WHITE FAIRY ,4
At-Risk Customers,CHRISTMAS LIGHTS 10 SANTAS ,4
At-Risk Customers,COLUMBIAN CANDLE RECTANGLE,4
At-Risk Customers,COSY SLIPPER SHOES SMALL  RED ,4
At-Risk Customers,CREAM SWEETHEART WALL CABINET,4
At-Risk Customers,DAIRY MAID  PUDDING BOWL,4
At-Risk Customers,DECORATION WOBBLY RABBIT METAL ,4
At-Risk Customers,DOLLCRAFT BOY JEAN-PAUL ,4
At-Risk Customers,DOLLCRAFT GIRL AMELIE,4
At-Risk Customers,DOORMAT CHRISTMAS VILLAGE,4
At-Risk Customers,DOORMAT PEACE ON EARTH BLUE,4
At-Risk Customers,EDWARDIAN HEART PHOTO FRAME,4
At-Risk Customers,EGG FRYING PAN IVORY ,4
At-Risk Customers,EMPIRE UNION JACK TV DINNER TRAY,4
At-Risk Customers,FLOOR CUSHION ELEPHANT CARNIVAL,4
At-Risk Customers,FRENCH CHATEAU OVAL PLATTER,4
At-Risk Customers,FUSCHIA TABLE RUN FLOWER ,4
At-Risk Customers,GEMSTONE CHANDELIER T-LIGHT HOLDER,4
At-Risk Customers,GEORGIAN TRINKET BOX,4
At-Risk Customers,GLASS BEAD HOOP EARRINGS AMETHYST,4
At-Risk Customers,GLASS BEAD HOOP EARRINGS BLACK,4
At-Risk Customers,GLASS BELL JAR SMALL,4
At-Risk Customers,GLOW IN DARK DOLPHINS,4
At-Risk Customers,GOLD EAR MUFF HEADPHONES,4
At-Risk Customers,GREEN DROP EARRINGS W BEAD CLUSTER,4
At-Risk Customers,GREEN FERN NOTEBOOK,4
At-Risk Customers,GREEN FERN POCKET BOOK,4
At-Risk Customers,GREEN GEISHA GIRL ,4
At-Risk Customers,GREEN MURANO TWIST BRACELET,4
At-Risk Customers,GREEN WIRE STANDING CANDLE HOLDER,4
At-Risk Customers,GREEN/BLUE FLOWER DESIGN BIG MUG,4
At-Risk Customers,HAND TOWEL PALE BLUE W FLOWERS,4
At-Risk Customers,HANGING BAUBLE T-LIGHT HOLDER LARGE,4
At-Risk Customers,HEART SHAPED HOLLY WREATH,4
At-Risk Customers,HEARTS WRAPPING TAPE ,4
At-Risk Customers,HEN PARTY CORDON BARRIER TAPE,4
At-Risk Customers,IVORY STRING CURTAIN WITH POLE ,4
At-Risk Customers,JARDIN ETCHED GLASS LARGE BELL JAR,4
At-Risk Customers,JINGLE BELL HEART ANTIQUE SILVER,4
At-Risk Customers,KITCHEN FLOWER POTS WALL PLAQUE,4
At-Risk Customers,KITTENS DESIGN FLANNEL,4
At-Risk Customers,LOVE SEAT ANTIQUE WHITE METAL,4
At-Risk Customers,MADRAS NOTEBOOK LARGE ,4
At-Risk Customers,MILK BOTTLE WITH GLASS STOPPER ,4
At-Risk Customers,MIRRORED WALL ART SPLODGES,4
At-Risk Customers,MOP PENDANT SHELL NECKLACE,4
At-Risk Customers,MURANO STYLE GLASS BRACELET BLACK,4
At-Risk Customers,Next Day Carriage,4
At-Risk Customers,PAIR BUTTERFLY HAIR CLIPS,4
At-Risk Customers,PAIR PADDED HANGERS PINK CHECK,4
At-Risk Customers,PAPER LANTERN 5 POINT STAR MOON 30,4
At-Risk Customers,PAPER LANTERN 9 POINT HOLLY STAR 40,4
At-Risk Customers,"PEARL & SHELL 42""NECKL. GREEN",4
At-Risk Customers,PINK CAT BOWL,4
At-Risk Customers,PINK CHERRY LIGHTS,4
At-Risk Customers,PINK DOG BOWL,4
At-Risk Customers,PINK FLOWER CROCHET FOOD COVER,4
At-Risk Customers,PINK SWEETHEART BRACELET,4
At-Risk Customers,PINK TALL PORCELAIN T-LIGHT HOLDER ,4
At-Risk Customers,POLYESTER FILLER PAD 65CMx65CM,4
At-Risk Customers,QUEEN OF THE SKIES PASSPORT COVER ,4
At-Risk Customers,RED DRAGONFLY HELICOPTER,4
At-Risk Customers,RED RETROSPOT WASHBAG,4
At-Risk Customers,"RETRO PILL BOX , REVOLUTIONARY",4
At-Risk Customers,"RETRO TIN ASHTRAY,REVOLUTIONARY",4
At-Risk Customers,SET OF 4 NAPKIN CHARMS LEAVES   ,4
At-Risk Customers,SET OF 6 ICE CREAM SKITTLES,4
At-Risk Customers,SET/3 POLKADOT STACKING TINS,4
At-Risk Customers,SILVER DROP EARRINGS WITH FLOWER,4
At-Risk Customers,SILVER M.O.P ORBIT BRACELET,4
At-Risk Customers,SILVER STANDING GNOME   ,4
At-Risk Customers,SKULLS SQUARE TISSUE BOX,4
At-Risk Customers,SMALL POP BOX FUNKY MONKEY,4
At-Risk Customers,"STRING OF 8 BUTTERFLIES,PINK",4
At-Risk Customers,STRIPES DESIGN TEDDY,4
At-Risk Customers,TEATIME PEN CASE & PENS,4
At-Risk Customers,TRAVEL CARD WALLET FLOWER MEADOW,4
At-Risk Customers,TROPICAL LUGGAGE TAG,4
At-Risk Customers,VINTAGE BLUE KITCHEN CABINET,4
At-Risk Customers,VINTAGE ENAMEL & CRYSTAL NECKLACE,4
At-Risk Customers,VINTAGE GLASS COFFEE CADDY,4
At-Risk Customers,VINTAGE KEEPSAKE BOX PARIS DAYS,4
At-Risk Customers,VINTAGE ROSE BEAD BRACELET RASPBERR,4
At-Risk Customers,VINTAGE WOODEN BAR STOOL,4
At-Risk Customers,VINYL RECORD FRAME SILVER,4
At-Risk Customers,WHITE CHRISTMAS GARLAND STARS TREES,4
At-Risk Customers,WHITE STITCHED CUSHION COVER,4
At-Risk Customers,WHITE TRAVEL ALARM CLOCK,4
At-Risk Customers,WHITE VINTAGE CRYSTAL BRACELET,4
At-Risk Customers,WHITE VINTAGE CRYSTAL EARRINGS,4
At-Risk Customers,WHITE/PINK MINI CRYSTALS NECKLACE,4
At-Risk Customers,WOODEN BOX ADVENT CALENDAR ,4
At-Risk Customers,WOODEN TREE CHRISTMAS SCANDINAVIAN,4
At-Risk Customers,ZINC HEART LATTICE CHARGER SMALL,4
At-Risk Customers,ADVENT CALENDAR GINGHAM SACK,3
At-Risk Customers,AMETHYST HOOP EARRING FLORAL LEAF,3
At-Risk Customers,ANT COPPER RED BOUDICCA BRACELET,3
At-Risk Customers,BEST DAD CANDLE LETTERS,3
At-Risk Customers,BLACK CHUNKY BEAD BRACELET W STRAP,3
At-Risk Customers,BLACK SWEETHEART BRACELET,3
At-Risk Customers,BLUE CIRCLES DESIGN MONKEY DOLL,3
At-Risk Customers,BLUE PAISLEY NOTEBOOK,3
At-Risk Customers,BUTTONS AND STRIPES NOTEBOOK ,3
At-Risk Customers,CANDY SPOT BUNNY,3
At-Risk Customers,CINDERELLA CHANDELIER ,3
At-Risk Customers,CLAM SHELL LARGE,3
At-Risk Customers,COPPER/OLIVE GREEN FLOWER NECKLACE,3
At-Risk Customers,CRACKED GLAZE NECKLACE IVORY,3
At-Risk Customers,CRACKED GLAZE NECKLACE RED,3
At-Risk Customers,CROCHET ROSE PURSE WITH SUEDE BACK,3
At-Risk Customers,CRYSTAL CHANDELIER T-LIGHT HOLDER,3
At-Risk Customers,DIAMANTE HAIR GRIP PACK/2 RUBY,3
At-Risk Customers,DOILEY STORAGE TIN,3
At-Risk Customers,EAU DE NILE HEART SHAPE PHOTO FRAME,3
At-Risk Customers,ECONOMY LUGGAGE TAG,3
At-Risk Customers,ENAMEL BLUE RIM BISCUIT BIN,3
At-Risk Customers,ENGLISH ROSE NOTEBOOK A6 SIZE,3
At-Risk Customers,ENGLISH ROSE SCENTED HANGING HEART,3
At-Risk Customers,FLOWER BLUE CLOCK WITH SUCKER,3
At-Risk Customers,FLOWER GARLAND NECKLACE RED,3
At-Risk Customers,"FLOWER GLASS GARLAND NECKL.36""BLACK",3
At-Risk Customers,"FLOWER GLASS GARLAND NECKL.36""GREEN",3
At-Risk Customers,FLOWER PURPLE CLOCK W/SUCKER,3
At-Risk Customers,FOLK FELT HANGING MULTICOL GARLAND,3
At-Risk Customers,FRENCH ENAMEL UTENSIL HOLDER,3
At-Risk Customers,FRENCH STYLE EMBOSSED HEART CABINET,3
At-Risk Customers,FRESHWATER PEARL BRACELET GOLD,3
At-Risk Customers,GLASS BONNE JAM JAR,3
At-Risk Customers,GOLD M.O.P ORBIT DROP EARRINGS,3
At-Risk Customers,GOLD/M.O.P PENDANT ORBIT NECKLACE,3
At-Risk Customers,GREEN FERN JOURNAL ,3
At-Risk Customers,HEART GARLAND RUSTIC PADDED,3
At-Risk Customers,IVORY PENDANT TRIPLE SHELL NECKLACE,3
At-Risk Customers,JET BLACK LAS VEGAS BRACELET ROUND,3
At-Risk Customers,JINGLE BELLS TREE DECORATION,3
At-Risk Customers,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",3
At-Risk Customers,LARGE CAMPHOR WOOD FIELD MUSHROOM ,3
At-Risk Customers,LONG SILVER NECKLACE PASTEL FLOWER,3
At-Risk Customers,MIDNIGHT BLUE COPPER FLOWER NECKLAC,3
At-Risk Customers,MIRRORED WALL ART GENTS,3
At-Risk Customers,MONEY BOX FIRST ADE DESIGN,3
At-Risk Customers,MURANO STYLE GLASS BRACELET RED,3
At-Risk Customers,NECKLACE+BRACELET SET FRUIT SALAD ,3
At-Risk Customers,NINJA RABBIT BLACK,3
At-Risk Customers,OYSTER TRINKET BOX,3
At-Risk Customers,PAINTED METAL STAR WITH HOLLY BELLS,3
At-Risk Customers,PALE PINK/AMETHYST STONE NECKLACE,3
At-Risk Customers,PASTEL PINK PHOTO ALBUM ,3
At-Risk Customers,PINK FELT EASTER RABBIT GARLAND,3
At-Risk Customers,PINK FOXGLOVE ARTIIFCIAL FLOWER,3
At-Risk Customers,PINK HAWAIIAN PICNIC HAMPER FOR 2,3
At-Risk Customers,PINK HEARTS PAPER GARLAND,3
At-Risk Customers,PINK JEWELLED PHOTO FRAME,3
At-Risk Customers,PINK YELLOW PATCH CUSHION COVER,3
At-Risk Customers,PINK/FLOWER RABBIT EGG WARMER ,3
At-Risk Customers,PURPLE BOUDICCA LARGE BRACELET,3
At-Risk Customers,PURPLE LAS VEGAS BRACELET ROUND,3
At-Risk Customers,QUEEN OF SKIES LUGGAGE TAG,3
At-Risk Customers,RASPBERRY ANT COPPER FLOWER NECKLAC,3
At-Risk Customers,ROBIN CHRISTMAS CARD,3
At-Risk Customers,ROSE DU SUD DRAWSTRING BAG,3
At-Risk Customers,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,3
At-Risk Customers,S/15 SILVER GLASS BAUBLES IN BAG,3
At-Risk Customers,S/2 BEACH HUT TREASURE CHESTS,3
At-Risk Customers,SET 10 NIGHT OWL LIGHTS,3
At-Risk Customers,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,3
At-Risk Customers,SET OF 4 POLKADOT PLACEMATS ,3
At-Risk Customers,SET OF 6 HEART CHOPSTICKS,3
At-Risk Customers,SET/12 FUNKY FELT FLOWER PEG IN BAG,3
At-Risk Customers,SET/4 COLOURFUL MIXING BOWLS,3
At-Risk Customers,SILVER JEWELLED MIRROR TRINKET TRAY,3
At-Risk Customers,SKULLS STORAGE BOX SMALL,3
At-Risk Customers,SPACE OWL,3
At-Risk Customers,SPOTS ON RED BOOKCOVER TAPE,3
At-Risk Customers,SUNSET COLOUR CHUNKY KNITTED THROW,3
At-Risk Customers,TREASURE TIN GYMKHANA DESIGN,3
At-Risk Customers,VINTAGE BEAD PINK PURSE ,3
At-Risk Customers,WOODEN ADVENT CALENDAR CREAM,3
At-Risk Customers,YELLOW SHARK HELICOPTER,3
At-Risk Customers,YELLOW/PINK FLOWER DESIGN BIG MUG,3
At-Risk Customers,3D VINTAGE CHRISTMAS STICKERS ,2
At-Risk Customers,5 STRAND GLASS NECKLACE BLACK,2
At-Risk Customers,75 GREEN FAIRY CAKE CASES,2
At-Risk Customers,AMBER CHUNKY GLASS+BEAD NECKLACE,2
At-Risk Customers,AMETHYST CHUNKY BEAD BRACELET W STR,2
At-Risk Customers,ANTIQUE CREAM CUTLERY CUPBOARD,2
At-Risk Customers,ANTIQUE MID BLUE FLOWER EARRINGS,2
At-Risk Customers,ANTIQUE OLIVE GREEN FLOWER EARRINGS,2
At-Risk Customers,ANTIQUE RASPBERRY FLOWER EARRINGS,2
At-Risk Customers,BIRD BOX CHRISTMAS TREE DECORATION,2
At-Risk Customers,BLACK BAROQUE WALL CLOCK ,2
At-Risk Customers,BLACK MEDIUM GLASS CAKE STAND,2
At-Risk Customers,BLACK MINI TAPE MEASURE ,2
At-Risk Customers,BLUE CRUSOE CHECK LAMPSHADE,2
At-Risk Customers,BLUE DAISY MOBILE,2
At-Risk Customers,BLUE GINGHAM ROSE CUSHION COVER,2
At-Risk Customers,BLUE ROSE PATCH PURSE PINK BUTTERFL,2
At-Risk Customers,BLUE SAVANNAH PICNIC HAMPER FOR 2,2
At-Risk Customers,BLUE TABLE RUN FLOWER,2
At-Risk Customers,Bank Charges,2
At-Risk Customers,"CAKESTAND, 3 TIER, LOVEHEART",2
At-Risk Customers,CAMOUFLAGE EAR MUFF HEADPHONES,2
At-Risk Customers,CAROUSEL DESIGN WASHBAG,2
At-Risk Customers,CHALKBOARD KITCHEN ORGANISER,2
At-Risk Customers,CHERRY BLOSSOM CANVAS ART PICTURE,2
At-Risk Customers,CHERUB HEART DECORATION GOLD,2
At-Risk Customers,"CHRISTMAS GARLAND STARS,TREES",2
At-Risk Customers,CHRISTMAS TREE T-LIGHT HOLDER,2
At-Risk Customers,COTE D'AZURE NECKLACE,2
At-Risk Customers,DANISH ROSE BEDSIDE CABINET,2
At-Risk Customers,DECORATIVE CATS BATHROOM BOTTLE,2
At-Risk Customers,DIAMANTE HAIR GRIP PACK/2 BLACK DIA,2
At-Risk Customers,EASTER BUNNY WREATH,2
At-Risk Customers,ECONOMY HOLIDAY PURSE,2
At-Risk Customers,EGG FRYING PAN RED ,2
At-Risk Customers,FLOWER PURPLE CLOCK WITH SUCKER,2
At-Risk Customers,FOLDING SHOE TIDY,2
At-Risk Customers,FREESTYLE CANVAS ART PICTURE,2
At-Risk Customers,FRUIT TREE AND BIRDS WALL PLAQUE,2
At-Risk Customers,GARLAND WITH STARS AND BELLS,2
At-Risk Customers,GLASS BEAD HOOP NECKLACE BLACK,2
At-Risk Customers,GLASS BELL JAR LARGE,2
At-Risk Customers,GLITTER STAR GARLAND WITH BELLS ,2
At-Risk Customers,GREEN GLASS TASSLE BAG CHARM,2
At-Risk Customers,GREEN METAL BOX TOP SECRET,2
At-Risk Customers,GREEN SWEETHEART BRACELET,2
At-Risk Customers,HEART BUTTONS JEWELLERY BOX,2
At-Risk Customers,JET BLACK LAS VEGAS NECKLACE 45CM,2
At-Risk Customers,LAUREL HEART ANTIQUE GOLD,2
At-Risk Customers,LAVENDER INCENSE 40 CONES IN TIN,2
At-Risk Customers,LIGHTHOUSE PRINTED METAL SIGN,2
At-Risk Customers,LITTLE PINK MONSTER SOFT TOY,2
At-Risk Customers,MAGIC SHEEP WOOL GROWING FROM PAPER,2
At-Risk Customers,MARIE ANTOINETTE TRINKET BOX GOLD,2
At-Risk Customers,MARIE ANTOINETTE TRINKET BOX SILVER,2
At-Risk Customers,MIRRORED WALL ART FOXY,2
At-Risk Customers,MIRRORED WALL ART LADIES,2
At-Risk Customers,MIXED NUTS LIGHT GREEN BOWL,2
At-Risk Customers,MOROCCAN BEATEN METAL DISH,2
At-Risk Customers,MOROCCAN BEATEN METAL DISH LARGE,2
At-Risk Customers,MULTICOLOUR EASTER RABBIT ,2
At-Risk Customers,NEW BAROQUE B'FLY NECKLACE CRYSTAL,2
At-Risk Customers,NEW BAROQUE B'FLY NECKLACE GREEN,2
At-Risk Customers,NEW BAROQUE BLACK PHOTO ALBUM,2
At-Risk Customers,NEW BAROQUE SMALL NECKLACE BLACK,2
At-Risk Customers,NUMBER TILE VINTAGE FONT 2,2
At-Risk Customers,OCEAN STRIPE HAMMOCK ,2
At-Risk Customers,OFFICE MUG WARMER PINK,2
At-Risk Customers,PACK 3 IRON ON DOG PATCHES,2
At-Risk Customers,PACK/12 BLUE FOLKART CARDS,2
At-Risk Customers,PAIR OF ENAMEL BUTTERFLY HAIRCLIP,2
At-Risk Customers,PAPER LANTERN 5 POINT STUDDED STAR,2
At-Risk Customers,PAPER LANTERN 9 POINT HOLLY STAR 23,2
At-Risk Customers,PINK BAROQUE FLOCK CANDLE HOLDER,2
At-Risk Customers,PINK DINER WALL CLOCK,2
At-Risk Customers,PINK DOG CANNISTER,2
At-Risk Customers,PINK HEART RED HANDBAG,2
At-Risk Customers,PINK JEWELLED PHOTO FRAME ,2
At-Risk Customers,PINK PAISLEY CUSHION COVER ,2
At-Risk Customers,PINK ROSEBUD & PEARL NECKLACE,2
At-Risk Customers,PINK ROSEBUD PEARL BRACELET,2
At-Risk Customers,PINK STRING CURTAIN WITH POLE,2
At-Risk Customers,PINK/GREEN FLOWER DESIGN BIG MUG,2
At-Risk Customers,POCKET BAG PINK PAISELY BROWN SPOT,2
At-Risk Customers,PSYCHEDELIC WALL THERMOMETER,2
At-Risk Customers,PURPLE SWEETHEART BRACELET,2
At-Risk Customers,RED DAISY PAPER LAMPSHADE,2
At-Risk Customers,RED SHARK HELICOPTER,2
At-Risk Customers,RETRO BROWN BALL ASHTRAY ,2
At-Risk Customers,RETROSPOT CANDLE  SMALL,2
At-Risk Customers,RIVIERA NECKLACE,2
At-Risk Customers,ROSE DU SUD COSMETICS BAG,2
At-Risk Customers,RUBY GLASS CLUSTER BRACELET,2
At-Risk Customers,SET OF 12 MINI BUNNIES IN A BUCKET,2
At-Risk Customers,SET OF 6 KASHMIR FOLKART BAUBLES,2
At-Risk Customers,SET OF 6 STRAWBERRY CHOPSTICKS,2
At-Risk Customers,SET OF PICTURE FRAME  STICKERS,2
At-Risk Customers,SET/6 POSIES PAPER PLATES,2
At-Risk Customers,SILVER LARIAT BLACK STONE EARRINGS,2
At-Risk Customers,SILVER OVAL SHAPE TRINKET BOX,2
At-Risk Customers,SMALL APOTHECARY MEASURING JAR ,2
At-Risk Customers,SMALL KITCHEN FLOWER POTS PLAQUE,2
At-Risk Customers,SMALL ROUND CUT GLASS CANDLESTICK,2
At-Risk Customers,SPACE CADET BLACK,2
At-Risk Customers,ST TROPEZ NECKLACE,2
At-Risk Customers,SWIRLY CIRCULAR RUBBERS IN BAG,2
At-Risk Customers,TALL ROCOCO CANDLE HOLDER,2
At-Risk Customers,TOADSTOOL BEDSIDE LIGHT ,2
At-Risk Customers,TOAST ITS - DINOSAUR,2
At-Risk Customers,TRIANGULAR POUFFE VINTAGE ,2
At-Risk Customers,TURQ+RED BOUDICCA LARGE BRACELET,2
At-Risk Customers,VINTAGE BEAD NOTEBOOK,2
At-Risk Customers,VINTAGE BLUE TINSEL REEL,2
At-Risk Customers,WHITE  ROSEBUD PEARL BRACELET,2
At-Risk Customers,WHITE ROSEBUD & PEARL NECKLACE,2
At-Risk Customers,WHITE VINT ART DECO CRYSTAL NECKLAC,2
At-Risk Customers,WHITE/PINK CHICK EASTER DECORATION,2
At-Risk Customers,WOOD AND GLASS MEDICINE CABINET,2
At-Risk Customers,WOODEN ADVENT CALENDAR RED,2
At-Risk Customers,WOVEN FROST CUSHION COVER,2
At-Risk Customers,YELLOW POT PLANT CANDLE,2
At-Risk Customers,ZINC HEART LATTICE 2 WALL PLANTER,2
At-Risk Customers,ZINC TOP  2 DOOR WOODEN SHELF ,2
At-Risk Customers,ZINC WIRE KITCHEN ORGANISER,2
At-Risk Customers,3D SHEET OF DOG STICKERS,1
At-Risk Customers,"ACRYLIC JEWEL SNOWFLAKE, PINK",1
At-Risk Customers,AMBER BERTIE GLASS BEAD BAG CHARM,1
At-Risk Customers,AMBER CHUNKY BEAD BRACELET W STRAP,1
At-Risk Customers,AMBER FINE BEAD NECKLACE W TASSEL,1
At-Risk Customers,AMBER GLASS/SILVER BRACELET,1
At-Risk Customers,ANTIQUE OPAL WHITE FLOWER EARRINGS,1
At-Risk Customers,AQUA BERTIE GLASS BEAD BAG CHARM,1
At-Risk Customers,BAROQUE BUTTERFLY EARRINGS BLACK,1
At-Risk Customers,BATHROOM SCALES FOOTPRINTS IN SAND,1
At-Risk Customers,BEACH HUT KEY CABINET,1
At-Risk Customers,BLACK CHRISTMAS TREE 60CM,1
At-Risk Customers,BLACK DROP EARRINGS W LONG BEADS,1
At-Risk Customers,BLACK EAR MUFF HEADPHONES,1
At-Risk Customers,BLACK GEMSTONE BRACELET,1
At-Risk Customers,BLACK LOVE BIRD T-LIGHT HOLDER,1
At-Risk Customers,BLACK+WHITE NECKLACE W TASSEL,1
At-Risk Customers,BLACK/WHITE GLASS/SILVER BRACELET,1
At-Risk Customers,BLING KEY RING STAND,1
At-Risk Customers,BLUE DISCO HANDBAG,1
At-Risk Customers,BLUE EASTER EGG HUNT START POST,1
At-Risk Customers,BLUE GLASS CHUNKY CHARM BRACELET,1
At-Risk Customers,BLUE MURANO TWIST NECKLACE,1
At-Risk Customers,BLUE ORGANDY ROUND LAMPSHADE W BEA,1
At-Risk Customers,BLUE REFECTORY CLOCK ,1
At-Risk Customers,BLUE SWEETHEART BRACELET,1
At-Risk Customers,BLUE TILED TRAY,1
At-Risk Customers,BLUE TRAVEL FIRST AID KIT,1
At-Risk Customers,CAKE STAND LACE WHITE,1
At-Risk Customers,CARNIVAL BRACELET,1
At-Risk Customers,CHERUB HEART DECORATION SILVER ,1
At-Risk Customers,CHRISTMAS MUSICAL ZINC TREE,1
At-Risk Customers,CHRISTMAS TREE DECORATION WITH BELL,1
At-Risk Customers,CINNAMON SCENTED VOTIVE CANDLE,1
At-Risk Customers,CLASSIC WHITE FRAME,1
At-Risk Customers,CLEAR ACRYLIC FACETED BANGLE,1
At-Risk Customers,COLUMBIAN CUBE CANDLE,1
At-Risk Customers,CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,1
At-Risk Customers,CREAM AND PINK FLOWERS PONY ,1
At-Risk Customers,CREAM SWEETHEART LETTER RACK,1
At-Risk Customers,CRYSTAL HOOP EARRING FLORAL LEAF,1
At-Risk Customers,CRYSTAL PAIR HEART HAIR SLIDES,1
At-Risk Customers,CUBIC MUG FLOCK BLUE ON BROWN,1
At-Risk Customers,DIAMANTE HAIR GRIP PACK/2 MONTANA,1
At-Risk Customers,"DIAMANTE HEART SHAPED WALL MIRROR, ",1
At-Risk Customers,DOORMAT MERRY CHRISTMAS RED ,1
At-Risk Customers,EASTER BUNNY WITH BASKET ON BACK,1
At-Risk Customers,EDWARDIAN DROP EARRINGS JET BLACK,1
At-Risk Customers,EGG FRYING PAN PINK ,1
At-Risk Customers,EIGHT PIECE CREEPY CRAWLIE SET,1
At-Risk Customers,ENAMEL BLUE RIM TEA CONTAINER,1
At-Risk Customers,FIRE POLISHED GLASS NECKL BRONZE,1
At-Risk Customers,FIRE POLISHED GLASS NECKL GOLD,1
At-Risk Customers,FLOOR LAMP SHADE WOOD BASE,1
At-Risk Customers,FLORAL BLUE MONSTER,1
At-Risk Customers,FLORAL PINK MONSTER,1
At-Risk Customers,FLORAL SOFT CAR TOY,1
At-Risk Customers,FLOWER BURST SILVER RING CRYSTAL,1
At-Risk Customers,FOLDING BUTTERFLY MIRROR HOT PINK ,1
At-Risk Customers,FOLDING BUTTERFLY MIRROR RED  ,1
At-Risk Customers,FUSCHIA RETRO BAR STOOL,1
At-Risk Customers,GARDEN PATH POCKET BOOK,1
At-Risk Customers,GLASS BEAD HOOP NECKLACE AMETHYST,1
At-Risk Customers,GLASS BEAD HOOP NECKLACE GREEN,1
At-Risk Customers,GLASS BEAD HOOP NECKLACE MONTANA,1
At-Risk Customers,GLITTER CHRISTMAS HEART ,1
At-Risk Customers,GOLD COSMETIC BAG PINK STAR,1
At-Risk Customers,GOLD M PEARL  ORBIT NECKLACE,1
At-Risk Customers,GOLD STANDING GNOME,1
At-Risk Customers,GREEN CHRISTMAS TREE STRING 20LIGHT,1
At-Risk Customers,GREEN PENDANT TRIPLE SHELL NECKLACE,1
At-Risk Customers,HANGING HEART BASKET,1
At-Risk Customers,HEART STRING MEMO HOLDER HANGING,1
At-Risk Customers,IVORY CAFE HANGING LAMP ,1
At-Risk Customers,IVORY KNITTED MUG COSY ,1
At-Risk Customers,IVORY REFECTORY CLOCK,1
At-Risk Customers,IVORY SCULPTED RND CANDLE ,1
At-Risk Customers,IVORY SWEETHEART SOAP DISH,1
At-Risk Customers,JARDIN ETCHED GLASS BUTTER DISH,1
At-Risk Customers,LA PALMIERA WALL THERMOMETER,1
At-Risk Customers,LASER CUT MULTI STRAND NECKLACE,1
At-Risk Customers,LILAC DIAMANTE PEN IN GIFT BOX,1
At-Risk Customers,LILAC GAUZE BUTTERFLY LAMPSHADE,1
